"","Time","Output","Amount","Investment","HCR"
"4",4,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.3024888738555,"Low Investment","20%B0 if over MSY"
"5",5,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.2171330522391,"Low Investment","20%B0 if over MSY"
"6",6,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.3402707182524,"Low Investment","20%B0 if over MSY"
"7",7,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.0188857504094,"Low Investment","20%B0 if over MSY"
"8",8,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.6118847471232,"Low Investment","20%B0 if over MSY"
"9",9,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.3762105485592,"Low Investment","20%B0 if over MSY"
"10",10,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.2597314178774,"Low Investment","20%B0 if over MSY"
"11",11,"Lost.or.Gained.Yield.Rel.K.2.1.1",-28.9218609691884,"Low Investment","20%B0 if over MSY"
"12",12,"Lost.or.Gained.Yield.Rel.K.2.1.1",-18.9775362874781,"Low Investment","20%B0 if over MSY"
"13",13,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.0522320918389,"Low Investment","20%B0 if over MSY"
"14",14,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.8233091803052,"Low Investment","20%B0 if over MSY"
"15",15,"Lost.or.Gained.Yield.Rel.K.2.1.1",-31.5984204360124,"Low Investment","20%B0 if over MSY"
"16",16,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.041284824538,"Low Investment","20%B0 if over MSY"
"17",17,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.7582576227112,"Low Investment","20%B0 if over MSY"
"18",18,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.0793889170602,"Low Investment","20%B0 if over MSY"
"19",19,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.1921810485277,"Low Investment","20%B0 if over MSY"
"20",20,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.1824289166937,"Low Investment","20%B0 if over MSY"
"21",21,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.3615443361021,"Low Investment","20%B0 if over MSY"
"22",22,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.3083620787722,"Low Investment","20%B0 if over MSY"
"23",23,"Lost.or.Gained.Yield.Rel.K.2.1.1",-30.3237656678274,"Low Investment","20%B0 if over MSY"
"24",24,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.4293791238233,"Low Investment","20%B0 if over MSY"
"25",25,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.1170213042242,"Low Investment","20%B0 if over MSY"
"26",26,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.0583631828421,"Low Investment","20%B0 if over MSY"
"27",27,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.4004034100342,"Low Investment","20%B0 if over MSY"
"28",28,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.7190443549775,"Low Investment","20%B0 if over MSY"
"29",29,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.3546789740475,"Low Investment","20%B0 if over MSY"
"30",30,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.0828032927946,"Low Investment","20%B0 if over MSY"
"31",31,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.3806356009978,"Low Investment","20%B0 if over MSY"
"32",32,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.9084544714817,"Low Investment","20%B0 if over MSY"
"33",33,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.99280130785,"Low Investment","20%B0 if over MSY"
"34",34,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.8075240427907,"Low Investment","20%B0 if over MSY"
"35",35,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.2903873756721,"Low Investment","20%B0 if over MSY"
"36",36,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.2910779062666,"Low Investment","20%B0 if over MSY"
"37",37,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.2613557549979,"Low Investment","20%B0 if over MSY"
"38",38,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.0428833171567,"Low Investment","20%B0 if over MSY"
"39",39,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.5790960355599,"Low Investment","20%B0 if over MSY"
"40",40,"Lost.or.Gained.Yield.Rel.K.2.1.1",-28.0062673123714,"Low Investment","20%B0 if over MSY"
