"","Time","Output","Amount","Investment","HCR"
"41",41,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.0769563754275,"Low Investment","20%B0 if over MSY"
"42",42,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.3754032820727,"Low Investment","20%B0 if over MSY"
"43",43,"Lost.or.Gained.Yield.Rel.K.2.1.1",-28.2084146387526,"Low Investment","20%B0 if over MSY"
"44",44,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.1383134143047,"Low Investment","20%B0 if over MSY"
"45",45,"Lost.or.Gained.Yield.Rel.K.2.1.1",-29.7573805012451,"Low Investment","20%B0 if over MSY"
"46",46,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.6339716396911,"Low Investment","20%B0 if over MSY"
"47",47,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.0127107329427,"Low Investment","20%B0 if over MSY"
"48",48,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.9423905317388,"Low Investment","20%B0 if over MSY"
"49",49,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.0911882612968,"Low Investment","20%B0 if over MSY"
"50",50,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.4602417029131,"Low Investment","20%B0 if over MSY"
"51",51,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.6041352729983,"Low Investment","20%B0 if over MSY"
"55",4,"Lost.or.Gained.Yield.Rel.K.2.2.1",-21.9638450976963,"Med Investment","20%B0 if over MSY"
"56",5,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.0036491464697,"Med Investment","20%B0 if over MSY"
"57",6,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.3611556593632,"Med Investment","20%B0 if over MSY"
"58",7,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.4457500371434,"Med Investment","20%B0 if over MSY"
"59",8,"Lost.or.Gained.Yield.Rel.K.2.2.1",-22.0775494402902,"Med Investment","20%B0 if over MSY"
"60",9,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.6586915187236,"Med Investment","20%B0 if over MSY"
"61",10,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.3108771854495,"Med Investment","20%B0 if over MSY"
"62",11,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.4635288988226,"Med Investment","20%B0 if over MSY"
"63",12,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.6975464688173,"Med Investment","20%B0 if over MSY"
"64",13,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.7552294457918,"Med Investment","20%B0 if over MSY"
"65",14,"Lost.or.Gained.Yield.Rel.K.2.2.1",-22.9853520585252,"Med Investment","20%B0 if over MSY"
"66",15,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.7088145687702,"Med Investment","20%B0 if over MSY"
"67",16,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.2718084442517,"Med Investment","20%B0 if over MSY"
"68",17,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.7256316600561,"Med Investment","20%B0 if over MSY"
"69",18,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.2166685641783,"Med Investment","20%B0 if over MSY"
"70",19,"Lost.or.Gained.Yield.Rel.K.2.2.1",-27.268698884769,"Med Investment","20%B0 if over MSY"
"71",20,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.434304738522,"Med Investment","20%B0 if over MSY"
"72",21,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.3192430105017,"Med Investment","20%B0 if over MSY"
"73",22,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9507721489139,"Med Investment","20%B0 if over MSY"
"74",23,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.7804764475461,"Med Investment","20%B0 if over MSY"
"75",24,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.5997815730726,"Med Investment","20%B0 if over MSY"
"76",25,"Lost.or.Gained.Yield.Rel.K.2.2.1",-27.0550542948829,"Med Investment","20%B0 if over MSY"
"77",26,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.0804550915908,"Med Investment","20%B0 if over MSY"
"78",27,"Lost.or.Gained.Yield.Rel.K.2.2.1",-22.990942365321,"Med Investment","20%B0 if over MSY"
"79",28,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.3585215818215,"Med Investment","20%B0 if over MSY"
"80",29,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.0793931909232,"Med Investment","20%B0 if over MSY"
"81",30,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.6669451559477,"Med Investment","20%B0 if over MSY"
"82",31,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.6215667426311,"Med Investment","20%B0 if over MSY"
"83",32,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.1338685388984,"Med Investment","20%B0 if over MSY"
"84",33,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9888603021741,"Med Investment","20%B0 if over MSY"
"85",34,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.2776714495471,"Med Investment","20%B0 if over MSY"
"86",35,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.6988002401421,"Med Investment","20%B0 if over MSY"
"87",36,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.8143344354239,"Med Investment","20%B0 if over MSY"
"88",37,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.6782376080095,"Med Investment","20%B0 if over MSY"
"89",38,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.2007534244333,"Med Investment","20%B0 if over MSY"
"90",39,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9404252751039,"Med Investment","20%B0 if over MSY"
"91",40,"Lost.or.Gained.Yield.Rel.K.2.2.1",-27.7371977470974,"Med Investment","20%B0 if over MSY"
"92",41,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.8050048559347,"Med Investment","20%B0 if over MSY"
"93",42,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.8058881377996,"Med Investment","20%B0 if over MSY"
"94",43,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9113325933929,"Med Investment","20%B0 if over MSY"
"95",44,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.8765185178908,"Med Investment","20%B0 if over MSY"
"96",45,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.3263263455793,"Med Investment","20%B0 if over MSY"
"97",46,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.9342552719178,"Med Investment","20%B0 if over MSY"
"98",47,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.2064140648741,"Med Investment","20%B0 if over MSY"
"99",48,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.8793445318791,"Med Investment","20%B0 if over MSY"
"100",49,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.1292475211529,"Med Investment","20%B0 if over MSY"
"101",50,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.7089495113787,"Med Investment","20%B0 if over MSY"
"102",51,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.8853205820205,"Med Investment","20%B0 if over MSY"
"106",4,"Lost.or.Gained.Yield.Rel.K.2.3.1",-22.8180787402796,"High Investment","20%B0 if over MSY"
"107",5,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.1903698036921,"High Investment","20%B0 if over MSY"
"108",6,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.4172340769902,"High Investment","20%B0 if over MSY"
"109",7,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.2505809965581,"High Investment","20%B0 if over MSY"
"110",8,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.8921489799899,"High Investment","20%B0 if over MSY"
"111",9,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2101380818183,"High Investment","20%B0 if over MSY"
"112",10,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.5593574278703,"High Investment","20%B0 if over MSY"
"113",11,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.8744385186801,"High Investment","20%B0 if over MSY"
"114",12,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.9376721141794,"High Investment","20%B0 if over MSY"
"115",13,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2525936980189,"High Investment","20%B0 if over MSY"
"116",14,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.0433521111165,"High Investment","20%B0 if over MSY"
"117",15,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.3521444363996,"High Investment","20%B0 if over MSY"
"118",16,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.9688832291067,"High Investment","20%B0 if over MSY"
"119",17,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.6815287858698,"High Investment","20%B0 if over MSY"
"120",18,"Lost.or.Gained.Yield.Rel.K.2.3.1",-23.8937872361092,"High Investment","20%B0 if over MSY"
"121",19,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.6768786501903,"High Investment","20%B0 if over MSY"
"122",20,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.4827577357732,"High Investment","20%B0 if over MSY"
"123",21,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.6401794115237,"High Investment","20%B0 if over MSY"
"124",22,"Lost.or.Gained.Yield.Rel.K.2.3.1",-23.9825977438903,"High Investment","20%B0 if over MSY"
"125",23,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.539398820183,"High Investment","20%B0 if over MSY"
"126",24,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.4219728082584,"High Investment","20%B0 if over MSY"
"127",25,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2724756347959,"High Investment","20%B0 if over MSY"
"128",26,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.7260159319772,"High Investment","20%B0 if over MSY"
"129",27,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.1760767190918,"High Investment","20%B0 if over MSY"
"130",28,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.7373257449674,"High Investment","20%B0 if over MSY"
"131",29,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.0666276750001,"High Investment","20%B0 if over MSY"
"132",30,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.132315081421,"High Investment","20%B0 if over MSY"
"133",31,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.4479585881332,"High Investment","20%B0 if over MSY"
"134",32,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.9382950941481,"High Investment","20%B0 if over MSY"
"135",33,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2784698507544,"High Investment","20%B0 if over MSY"
"136",34,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2436024754115,"High Investment","20%B0 if over MSY"
"137",35,"Lost.or.Gained.Yield.Rel.K.2.3.1",-23.6270816916418,"High Investment","20%B0 if over MSY"
"138",36,"Lost.or.Gained.Yield.Rel.K.2.3.1",-26.3508352104216,"High Investment","20%B0 if over MSY"
"139",37,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.6064425612769,"High Investment","20%B0 if over MSY"
"140",38,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.6431161990552,"High Investment","20%B0 if over MSY"
"141",39,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.5063176495072,"High Investment","20%B0 if over MSY"
"142",40,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.8359383356456,"High Investment","20%B0 if over MSY"
"143",41,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.233364680774,"High Investment","20%B0 if over MSY"
"144",42,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.9003858487664,"High Investment","20%B0 if over MSY"
"145",43,"Lost.or.Gained.Yield.Rel.K.2.3.1",-23.2185294955654,"High Investment","20%B0 if over MSY"
"146",44,"Lost.or.Gained.Yield.Rel.K.2.3.1",-26.2853525114963,"High Investment","20%B0 if over MSY"
"147",45,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.7236397537318,"High Investment","20%B0 if over MSY"
"148",46,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.7928400677573,"High Investment","20%B0 if over MSY"
"149",47,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.3478202564448,"High Investment","20%B0 if over MSY"
"150",48,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.0850344224213,"High Investment","20%B0 if over MSY"
"151",49,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.116909848767,"High Investment","20%B0 if over MSY"
"152",50,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.2622548015498,"High Investment","20%B0 if over MSY"
"153",51,"Lost.or.Gained.Yield.Rel.K.2.3.1",-26.4589353983763,"High Investment","20%B0 if over MSY"
"410",4,"Lost.or.Gained.Yield.Rel.K.2.1.1",-18.499554223744,"Low Investment","MEY"
"52",5,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.7288550032696,"Low Investment","MEY"
"610",6,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.4745573939593,"Low Investment","MEY"
"710",7,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.9610531275042,"Low Investment","MEY"
"810",8,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.2295443459495,"Low Investment","MEY"
"910",9,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.7445864309698,"Low Investment","MEY"
"103",10,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.192280394722,"Low Investment","MEY"
"1110",11,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.8838920010019,"Low Investment","MEY"
"1210",12,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.9533372126821,"Low Investment","MEY"
"1310",13,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.7279560315722,"Low Investment","MEY"
"1410",14,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.8748237392287,"Low Investment","MEY"
"154",15,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.0572804479465,"Low Investment","MEY"
"161",16,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.3964108726984,"Low Investment","MEY"
"171",17,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.3311566922033,"Low Investment","MEY"
"181",18,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.2957748947895,"Low Investment","MEY"
"191",19,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.4724822897313,"Low Investment","MEY"
"201",20,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.7586534183553,"Low Investment","MEY"
"211",21,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.4543000815991,"Low Investment","MEY"
"221",22,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.2232136835155,"Low Investment","MEY"
"231",23,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.4629731828844,"Low Investment","MEY"
"241",24,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.5825374379144,"Low Investment","MEY"
"251",25,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.3418279956077,"Low Investment","MEY"
"261",26,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.9986600891013,"Low Investment","MEY"
"271",27,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.8024954543887,"Low Investment","MEY"
"281",28,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.7008614067074,"Low Investment","MEY"
"291",29,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.227963935246,"Low Investment","MEY"
"301",30,"Lost.or.Gained.Yield.Rel.K.2.1.1",-29.4952825503854,"Low Investment","MEY"
"311",31,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.2008563511158,"Low Investment","MEY"
"321",32,"Lost.or.Gained.Yield.Rel.K.2.1.1",-21.5614391129539,"Low Investment","MEY"
"331",33,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.4320000614474,"Low Investment","MEY"
"341",34,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.8205883441642,"Low Investment","MEY"
"351",35,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.4019046685293,"Low Investment","MEY"
"361",36,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.0212500982533,"Low Investment","MEY"
"371",37,"Lost.or.Gained.Yield.Rel.K.2.1.1",-20.7665129187601,"Low Investment","MEY"
"381",38,"Lost.or.Gained.Yield.Rel.K.2.1.1",-30.2558129863122,"Low Investment","MEY"
"391",39,"Lost.or.Gained.Yield.Rel.K.2.1.1",-23.0128082241984,"Low Investment","MEY"
"401",40,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.7543817313284,"Low Investment","MEY"
"411",41,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.7304986813524,"Low Investment","MEY"
"421",42,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.3145383808147,"Low Investment","MEY"
"431",43,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.4954653361384,"Low Investment","MEY"
"441",44,"Lost.or.Gained.Yield.Rel.K.2.1.1",-29.2413702434785,"Low Investment","MEY"
"451",45,"Lost.or.Gained.Yield.Rel.K.2.1.1",-24.7544491996613,"Low Investment","MEY"
"461",46,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.8807969351986,"Low Investment","MEY"
"471",47,"Lost.or.Gained.Yield.Rel.K.2.1.1",-20.0387684227335,"Low Investment","MEY"
"481",48,"Lost.or.Gained.Yield.Rel.K.2.1.1",-26.6006281595149,"Low Investment","MEY"
"491",49,"Lost.or.Gained.Yield.Rel.K.2.1.1",-22.1286993333388,"Low Investment","MEY"
"501",50,"Lost.or.Gained.Yield.Rel.K.2.1.1",-27.0733449532046,"Low Investment","MEY"
"511",51,"Lost.or.Gained.Yield.Rel.K.2.1.1",-25.6294380019165,"Low Investment","MEY"
"551",4,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.1464654980534,"Med Investment","MEY"
"561",5,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.327677842225,"Med Investment","MEY"
"571",6,"Lost.or.Gained.Yield.Rel.K.2.2.1",-22.2643087694645,"Med Investment","MEY"
"581",7,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.6769422293403,"Med Investment","MEY"
"591",8,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.8968750326917,"Med Investment","MEY"
"601",9,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.8523688692913,"Med Investment","MEY"
"611",10,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.8290950570311,"Med Investment","MEY"
"621",11,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.1355346048913,"Med Investment","MEY"
"631",12,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.4816697571251,"Med Investment","MEY"
"641",13,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.2248581044341,"Med Investment","MEY"
"651",14,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.3862008326112,"Med Investment","MEY"
"661",15,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9692528343179,"Med Investment","MEY"
"671",16,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.0728788777411,"Med Investment","MEY"
"681",17,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9504947021018,"Med Investment","MEY"
"691",18,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.2807115916098,"Med Investment","MEY"
"701",19,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.0712679416787,"Med Investment","MEY"
"711",20,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.1111753492691,"Med Investment","MEY"
"721",21,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.4867735007232,"Med Investment","MEY"
"731",22,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.7606649566847,"Med Investment","MEY"
"741",23,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.3218309293144,"Med Investment","MEY"
"751",24,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.3590021974364,"Med Investment","MEY"
"761",25,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.6273289610171,"Med Investment","MEY"
"771",26,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.8111796122159,"Med Investment","MEY"
"781",27,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9734491756797,"Med Investment","MEY"
"791",28,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.8668976297876,"Med Investment","MEY"
"801",29,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.476956394481,"Med Investment","MEY"
"811",30,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.7762957399082,"Med Investment","MEY"
"821",31,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.2777202537552,"Med Investment","MEY"
"831",32,"Lost.or.Gained.Yield.Rel.K.2.2.1",-27.8246929078775,"Med Investment","MEY"
"841",33,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.8157243780843,"Med Investment","MEY"
"851",34,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.2624906391677,"Med Investment","MEY"
"861",35,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.3880748498644,"Med Investment","MEY"
"871",36,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.2731720529885,"Med Investment","MEY"
"881",37,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.9338020406453,"Med Investment","MEY"
"891",38,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.8937938106648,"Med Investment","MEY"
"901",39,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.9743829412021,"Med Investment","MEY"
"911",40,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.6037467287206,"Med Investment","MEY"
"921",41,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.5758908248422,"Med Investment","MEY"
"931",42,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.0652080168554,"Med Investment","MEY"
"941",43,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.5532415604017,"Med Investment","MEY"
"951",44,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.2585751102065,"Med Investment","MEY"
"961",45,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.6193167639165,"Med Investment","MEY"
"971",46,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.7516314631468,"Med Investment","MEY"
"981",47,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.8192145435765,"Med Investment","MEY"
"991",48,"Lost.or.Gained.Yield.Rel.K.2.2.1",-26.6102411168683,"Med Investment","MEY"
"1001",49,"Lost.or.Gained.Yield.Rel.K.2.2.1",-23.3368053473296,"Med Investment","MEY"
"1011",50,"Lost.or.Gained.Yield.Rel.K.2.2.1",-25.7158905710649,"Med Investment","MEY"
"1021",51,"Lost.or.Gained.Yield.Rel.K.2.2.1",-24.9399722347682,"Med Investment","MEY"
"1061",4,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.9344494319476,"High Investment","MEY"
"1071",5,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.6836271254004,"High Investment","MEY"
"1081",6,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.3560419763408,"High Investment","MEY"
"1091",7,"Lost.or.Gained.Yield.Rel.K.2.3.1",-24.8050975868746,"High Investment","MEY"
"1101",8,"Lost.or.Gained.Yield.Rel.K.2.3.1",-25.6988400866303,"High Investment","MEY"
