"","X0.1.30","X0.2.30","X0.3.30","X0.4.30","X0.5.30","X0.1.60","X0.2.60","X0.3.60","X0.4.60","X0.5.60","X0.1.90","X0.2.90","X0.3.90","X0.4.90","X0.5.90"
"Biomass",71.9283,72.5104,71.7345,68.99,64.6372,72.0558,72.638,71.8647,69.1202,64.7602,72.0999,72.6877,71.9147,69.17,64.8119
"Yield",24.5276,23.6099,22.2529,20.3115,17.9849,24.5995,23.6776,22.3163,20.3701,18.0362,24.6227,23.7004,22.3378,20.39,18.0561
"CumulativeY",12230.4169347207,11769.2372649477,11103.5806453061,10169.2555159765,8966.8153627342,12302.2822000118,11836.8557037382,11167.0091227961,10227.9298993481,9018.16824355982,12325.5834296319,11859.6934736081,11188.3578562092,10247.841026084,9037.9389434983
